Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,49.52,49.830002,49.23,49.66,46.087624,6988700
2012-09-05,50.139999,51.240002,50.09,50.790001,47.136337,16689300
2012-09-06,50.700001,51.869999,50.639999,51.860001,48.129368,10124600
2012-09-07,51.869999,52.0,51.66,51.740002,48.018002,8923600
2012-09-10,51.610001,51.799999,51.48,51.52,47.813828,7479300
2012-09-11,51.470001,51.669998,51.43,51.560001,47.850952,6631700
2012-09-12,51.599998,51.790001,51.27,51.700001,47.980877,7100200
2012-09-13,51.73,52.669998,51.73,52.599998,48.816132,11184700
2012-09-14,52.450001,52.75,52.169998,52.349998,48.58411,9507000
2012-09-17,52.32,52.43,51.959999,52.150002,48.398506,7852900
2012-09-18,52.029999,52.119999,51.77,51.900002,48.166496,7100800
2012-09-19,51.779999,52.950001,51.779999,52.700001,48.908939,7822500
2012-09-20,52.43,52.91,52.43,52.66,48.871815,8598300
2012-09-21,52.939999,53.389999,52.73,52.740002,48.946068,13229300
2012-09-24,52.669998,53.049999,52.610001,52.919998,49.113117,6148000
2012-09-25,52.889999,53.400002,52.540001,52.540001,48.760452,7421200
2012-09-26,52.419998,52.599998,51.77,51.939999,48.203609,8017900
2012-09-27,52.119999,52.779999,51.970001,52.580002,48.797577,5309400
2012-09-28,52.41,52.529999,52.049999,52.279999,48.51915,6695200
2012-10-01,52.310001,52.860001,51.919998,52.07,48.324261,6557200
2012-10-02,52.130001,52.25,51.470001,51.639999,47.925186,7243900
2012-10-03,51.720001,52.689999,51.689999,52.470001,48.695488,6626600
2012-10-04,52.720001,53.080002,52.389999,52.630001,48.843975,6507800
2012-10-05,52.84,53.150002,52.759998,52.970001,49.159515,5223200
2012-10-08,52.369999,52.5,52.110001,52.330002,48.565559,5827900
2012-10-09,52.32,52.330002,51.459999,51.509998,47.804546,8072100
2012-10-10,51.389999,51.630001,51.09,51.209999,47.526127,6407900
2012-10-11,51.330002,51.560001,50.200001,50.34,46.718708,10118400
2012-10-12,50.549999,50.75,50.419998,50.59,46.950726,6135600
2012-10-15,50.59,50.810001,50.360001,50.790001,47.136337,6871200
2012-10-16,51.169998,51.5,51.080002,51.240002,47.55397,4997300
2012-10-17,51.400002,52.400002,51.330002,52.290001,48.528435,7787900
2012-10-18,52.259998,52.740002,52.119999,52.419998,48.649078,6290600
2012-10-19,52.5,52.59,51.599998,51.900002,48.166496,8454800
2012-10-22,51.810001,52.049999,51.400002,51.790001,48.064407,6131800
2012-10-23,51.330002,51.349998,50.75,50.759998,47.108498,8531000
2012-10-24,50.950001,51.080002,50.560001,50.650002,47.006409,6069500
2012-10-25,50.93,51.029999,49.959999,50.259998,46.644466,6794100
2012-10-26,50.360001,50.540001,49.52,50.080002,46.477417,8359800
2012-10-31,51.150002,51.240002,48.799999,49.119999,45.586472,20702900
2012-11-01,49.279999,50.310001,49.279999,49.779999,46.198994,10582900
2012-11-02,50.630001,50.990002,49.77,49.860001,46.273243,14027500
2012-11-05,50.810001,50.860001,49.82,50.32,46.70015,9575100
2012-11-06,50.57,50.700001,50.080002,50.470001,46.839359,7691200
2012-11-07,50.650002,50.650002,49.59,50.080002,46.477417,8533200
2012-11-08,50.09,50.84,49.919998,50.040001,46.440292,11124200
2012-11-09,46.990002,47.950001,46.529999,47.060001,43.674664,34216900
2012-11-12,47.490002,47.630001,46.959999,47.450001,44.03661,12344500
2012-11-13,47.279999,48.419998,47.279999,47.959999,44.509926,12269300
2012-11-14,48.029999,48.040001,47.049999,47.169998,43.776741,9776400
2012-11-15,47.240002,47.639999,46.959999,47.470001,44.055164,11416900
2012-11-16,47.59,47.759998,47.049999,47.419998,44.008766,9833400
2012-11-19,47.700001,48.029999,47.450001,47.91,44.463516,8512400
2012-11-20,47.779999,48.5,47.66,48.439999,44.955387,7465100
2012-11-21,48.5,48.950001,48.400002,48.68,45.178127,6763300
2012-11-23,48.889999,49.279999,48.799999,49.259998,45.7164,3353600
2012-11-26,48.98,49.43,48.91,49.029999,45.502945,6935800
2012-11-27,49.060001,49.200001,48.529999,48.599998,45.103878,6720400
2012-11-28,48.470001,49.25,47.84,49.200001,45.660717,8148500
2012-11-29,49.509998,49.849998,49.32,49.720001,46.143311,7232200
